Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2011,US,Final,"166,713,950","1,422,801,095","126,143,072",11.72,"135,926,715","1,328,057,442","17,637,928",10.24,"67,605,703","991,315,573","727,889",6.82,"802,745","7,672,077",92,10.46,"371,049,086","3,749,846,184","144,508,982",9.90
2010,AK,Final,"340,338","2,093,216","271,955",16.26,"394,632","2,829,737","47,844",13.95,"187,289","1,324,084","1,350",14.14,0,0,0,.,"922,259","6,247,039","321,150",14.76
2010,AL,Final,"3,790,733","35,529,292","2,138,905",10.67,"2,339,091","22,983,767","356,294",10.18,"1,945,053","32,349,586","6,910",6.01,0,0,0,.,"8,074,878","90,862,646","2,502,109",8.89
2010,AR,Final,"1,702,938","19,230,962","1,322,833",8.86,"890,627","12,188,204","178,962",7.31,"913,220","16,774,700","32,406",5.44,49,420,2,11.67,"3,506,833","48,194,283","1,534,202",7.28
2010,AZ,Final,"3,558,161","32,448,138","2,554,212",10.97,"2,741,684","28,942,919","300,503",9.47,"758,910","11,441,975","7,142",6.63,0,0,0,.,"7,058,754","72,833,031","2,861,857",9.69
2010,CA,Final,"12,873,565","87,256,946","12,947,913",14.75,"15,863,516","121,151,697","1,814,631",13.09,"4,831,623","49,301,025","75,160",9.80,"67,924","821,225",13,8.27,"33,636,629","258,530,892","14,837,717",13.01
2010,CO,Final,"1,997,856","18,102,386","2,128,503",11.04,"1,790,037","19,597,221","350,068",9.13,"1,047,502","15,171,843","15,060",6.90,"4,329","46,335",1,9.34,"4,839,726","52,917,787","2,493,632",9.15
2010,CT,Final,"2,514,465","13,065,273","1,451,806",19.25,"2,208,562","13,427,699","153,846",16.45,"538,689","3,712,952","4,975",14.51,"21,422","185,840",2,11.53,"5,283,138","30,391,767","1,610,628",17.38
2010,DC,Final,"297,450","2,123,312","227,549",14.01,"1,236,305","9,209,487","26,449",13.42,"17,777","229,598",1,7.74,"34,459","314,601",1,10.95,"1,585,991","11,876,996","254,000",13.35
2010,DE,Final,"657,104","4,759,973","396,113",13.80,"490,772","4,320,019","49,985",11.36,"241,674","2,525,939","1,241",9.57,0,0,0,.,"1,389,549","11,605,932","447,339",11.97
2010,FL,Final,"13,982,243","122,244,650","8,529,202",11.44,"8,941,652","91,614,094","1,127,137",9.76,"1,528,592","17,265,268","18,046",8.85,"7,345","85,601",25,8.58,"24,459,828","231,209,615","9,674,411",10.58
2010,GA,Final,"6,198,369","61,554,497","4,054,134",10.07,"4,338,099","47,897,476","546,005",9.06,"1,932,099","31,046,908","15,644",6.22,"12,890","172,696",1,7.46,"12,481,461","140,671,580","4,615,784",8.87
2010,HI,Final,"840,073","2,989,499","414,568",28.10,"869,792","3,354,524","60,479",25.93,"805,926","3,672,487",685,21.94,0,0,0,.,"2,515,789","10,016,510","475,732",25.12
2010,IA,Final,"1,516,863","14,554,887","1,327,892",10.42,"951,526","12,025,276","217,702",7.91,"1,011,343","18,865,105","6,556",5.36,0,0,0,.,"3,479,731","45,445,269","1,552,150",7.66
2010,ID,Final,"649,759","8,136,734","664,716",7.99,"389,391","5,864,882","101,267",6.64,"452,706","8,796,048","26,047",5.15,0,0,0,.,"1,491,854","22,797,669","792,031",6.54
2010,IL,Final,"5,599,018","48,582,986","5,070,047",11.52,"4,565,265","51,437,413","578,757",8.88,"3,011,058","44,180,123","5,990",6.82,"37,629","560,150",4,6.72,"13,212,973","144,760,673","5,654,798",9.13
2010,IN,Final,"3,350,354","35,058,372","2,742,783",9.56,"2,040,755","24,364,614","341,715",8.38,"2,734,473","46,551,671","18,795",5.87,"1,815","19,718",1,9.20,"8,127,398","105,994,376","3,103,294",7.67
2010,KS,Final,"1,437,102","14,334,088","1,213,026",10.03,"1,272,739","15,435,823","220,083",8.25,"664,063","10,650,766","23,300",6.23,0,0,0,.,"3,373,901","40,420,673","1,456,408",8.35
2010,KY,Final,"2,496,770","29,136,518","1,930,664",8.57,"1,529,639","19,410,548","297,047",7.88,"2,273,807","45,022,361","7,267",5.05,0,0,0,.,"6,300,216","93,569,426","2,234,978",6.73
2010,LA,Final,"2,935,167","32,678,932","1,973,172",8.98,"2,057,616","24,203,161","274,176",8.50,"1,646,496","28,186,815","18,127",5.84,"1,021","10,785",23,9.47,"6,640,300","85,079,692","2,265,498",7.80
2010,MA,Final,"3,124,528","21,409,003","2,674,717",14.59,"2,651,047","18,243,198","379,702",14.53,"2,346,600","17,116,157","16,160",13.71,"22,718","355,062",2,6.40,"8,144,896","57,123,424","3,070,581",14.26
2010,MD,Final,"4,142,934","28,934,072","2,200,368",14.32,"3,617,034","30,771,317","244,263",11.75,"486,917","5,083,115","8,765",9.58,"54,099","546,991",5,9.89,"8,300,984","65,335,498","2,453,401",12.71
2010,ME,Final,"687,036","4,371,835","699,624",15.72,"513,227","4,100,908","88,266",12.51,"280,545","3,058,826","2,821",9.17,0,0,0,.,"1,480,808","11,531,566","790,711",12.84
2010,MI,Final,"4,320,775","34,680,715","4,245,155",12.46,"3,740,719","38,123,171","520,231",9.81,"2,183,316","30,840,513","12,827",7.08,515,"4,820",1,10.68,"10,245,324","103,649,219","4,778,214",9.88
2010,MN,Final,"2,379,113","22,464,797","2,300,289",10.59,"1,887,111","22,515,352","276,462",8.38,"1,433,279","22,797,764","10,149",6.29,"1,693","21,795",1,7.77,"5,701,193","67,799,706","2,586,901",8.41
2010,MO,Final,"3,385,583","37,302,279","2,695,792",9.08,"2,358,018","31,430,653","370,936",7.50,"953,657","17,330,170","8,899",5.50,"1,351","22,016",1,6.14,"6,698,608","86,085,117","3,075,628",7.78
