Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,OTHER Revenue,OTHER Sales,OTHER Customers,OTHER Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2001,MO,Final,"2,113,257","30,168,328",.,7.00,"1,533,321","26,028,729",.,5.89,"694,792","15,814,713",.,4.39,.,.,.,.,"73,066","1,201,386",.,6.08,"4,414,434","73,213,157",.,6.03
2001,MS,Final,"1,242,777","16,855,661",.,7.37,"787,812","11,357,411",.,6.94,"671,816","15,268,358",.,4.40,.,.,.,.,"72,101","805,432",.,8.95,"2,774,506","44,286,866",.,6.26
2001,MT,Final,"267,230","3,886,224",.,6.88,"228,374","3,865,679",.,5.91,"221,987","3,370,259",.,6.59,.,.,.,.,"24,228","324,497",.,7.47,"741,820","11,446,658",.,6.48
2001,NC,Final,"3,749,928","46,200,717",.,8.12,"2,423,309","37,744,146",.,6.42,"1,517,635","32,931,138",.,4.61,.,.,.,.,"143,675","2,150,939",.,6.68,"7,834,544","119,026,944",.,6.58
2001,ND,Final,"225,280","3,479,809",.,6.47,"183,811","3,070,649",.,5.99,"109,605","2,753,243",.,3.98,.,.,.,.,"19,201","506,055",.,3.79,"537,896","9,809,758",.,5.48
2001,NE,Final,"561,857","8,638,209",.,6.50,"396,344","7,232,148",.,5.48,"275,814","7,327,583",.,3.76,.,.,.,.,"99,182","1,524,701",.,6.51,"1,333,198","24,722,639",.,5.39
2001,NH,Final,"473,388","3,789,290",.,12.49,"411,914","3,910,768",.,10.53,"226,212","2,482,549",.,9.11,.,.,.,.,"17,651","132,941",.,13.28,"1,129,162","10,315,549",.,10.95
2001,NJ,Final,"2,602,693","25,491,423",.,10.21,"3,131,788","34,445,279",.,9.09,"1,058,686","12,706,552",.,8.33,.,.,.,.,"59,886","534,138",.,11.21,"6,853,052","73,177,391",.,9.36
2001,NM,Final,"436,867","4,999,479",.,8.74,"513,101","6,843,577",.,7.50,"287,359","5,271,877",.,5.45,.,.,.,.,"102,603","1,611,660",.,6.37,"1,339,932","18,726,597",.,7.16
2001,NV,Final,"871,877","9,606,868",.,9.08,"565,309","6,693,111",.,8.45,"737,651","11,238,934",.,6.56,.,.,.,.,"38,618","628,377",.,6.15,"2,213,452","28,167,292",.,7.86
2001,NY,Final,"6,209,194","44,235,592",.,14.04,"7,826,528","60,806,219",.,12.87,"1,413,985","25,449,717",.,5.56,.,.,.,.,"1,201,002","13,689,232",.,8.77,"16,650,709","144,180,760",.,11.55
2001,OH,Final,"3,963,002","47,346,163",.,8.37,"3,332,774","39,372,079",.,8.46,"2,780,426","65,098,734",.,4.27,.,.,.,.,"233,248","3,980,739",.,5.86,"10,309,450","155,797,715",.,6.62
2001,OK,Final,"1,438,610","19,795,855",.,7.27,"860,733","13,551,965",.,6.35,"572,826","13,356,188",.,4.29,.,.,.,.,"159,575","2,962,720",.,5.39,"3,031,740","49,666,726",.,6.10
2001,OR,Final,"1,100,134","17,502,996",.,6.29,"807,730","14,816,355",.,5.45,"551,113","13,084,361",.,4.21,.,.,.,.,"35,282","481,117",.,7.33,"2,494,258","45,884,832",.,5.44
2001,PA,Final,"4,454,110","46,029,990",.,9.68,"3,496,557","40,552,671",.,8.62,"2,731,390","47,383,320",.,5.76,.,.,.,.,"149,703","1,305,953",.,11.46,"10,831,762","135,271,934",.,8.01
2001,RI,Final,"327,364","2,699,059",.,12.13,"374,013","3,240,058",.,11.54,"129,685","1,385,911",.,9.36,.,.,.,.,"15,521","67,890",.,22.86,"846,583","7,392,918",.,11.45
2001,SC,Final,"1,912,045","24,874,644",.,7.69,"1,127,116","17,484,203",.,6.45,"1,217,605","31,527,677",.,3.86,.,.,.,.,"60,398","945,844",.,6.39,"4,317,164","74,832,367",.,5.77
2001,SD,Final,"265,617","3,580,418",.,7.42,"190,856","2,915,072",.,6.55,"74,254","1,666,097",.,4.46,.,.,.,.,"17,268","465,409",.,3.71,"547,999","8,626,997",.,6.35
2001,TN,Final,"2,334,726","36,931,536",.,6.32,"1,638,632","25,973,835",.,6.31,"1,301,193","32,148,646",.,4.05,.,.,.,.,"95,090","1,076,705",.,8.83,"5,369,639","96,130,718",.,5.59
2001,TX,Final,"10,399,343","117,342,778",.,8.86,"6,807,160","87,912,114",.,7.74,"5,174,014","98,208,406",.,5.27,.,.,.,.,"1,102,989","14,580,874",.,7.56,"23,483,506","318,044,174",.,7.38
2001,UT,Final,"449,766","6,692,983",.,6.72,"460,636","8,262,123",.,5.58,"261,684","7,411,435",.,3.53,.,.,.,.,"38,570","850,768",.,4.53,"1,210,658","23,217,308",.,5.21
2001,VA,Final,"2,907,599","37,325,231",.,7.79,"1,701,358","29,065,837",.,5.85,"819,780","19,701,919",.,4.16,.,.,.,.,"535,052","10,360,190",.,5.16,"5,963,794","96,453,176",.,6.18
2001,VT,Final,"254,581","2,009,402",.,12.67,"217,245","1,925,564",.,11.28,"126,906","1,608,429",.,7.89,.,.,.,.,"7,926","42,052",.,18.85,"606,660","5,585,447",.,10.86
2001,WA,Final,"1,801,591","31,608,471",.,5.70,"1,298,407","23,840,526",.,5.45,"919,122","19,338,924",.,4.75,.,.,.,.,"173,905","3,707,326",.,4.69,"4,193,025","78,495,247",.,5.34
2001,WI,Final,"1,612,030","20,417,898",.,7.90,"1,185,034","18,677,917",.,6.34,"1,107,335","25,370,339",.,4.36,.,.,.,.,"57,885","752,139",.,7.70,"3,962,284","65,218,293",.,6.08
2001,WV,Final,"615,508","9,828,181",.,6.26,"368,973","6,785,668",.,5.44,"410,395","10,978,083",.,3.74,.,.,.,.,"8,028","77,502",.,10.36,"1,402,905","27,669,430",.,5.07
2001,WY,Final,"145,295","2,145,532",.,6.77,"157,716","2,915,189",.,5.41,"264,489","7,700,187",.,3.43,.,.,.,.,"9,572","188,601",.,5.08,"577,071","12,949,504",.,4.46
2001,US,Final,"103,157,869","1,201,606,594",.,8.58,"85,741,485","1,083,068,538",.,7.92,"50,292,943","996,609,311",.,5.05,.,.,.,.,"8,150,827","113,173,680",.,7.20,"247,343,101","3,394,458,107",.,7.29
